"scene","champ_modifie","ancienne_valeur","nouvelle_valeur","justification","source_documentaire"
"0","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"1","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"2","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"3","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"4","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"5","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"6","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"7","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"8","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"9","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"10","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"11","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"12","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"13","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"14","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"15","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"16","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"17","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"18","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"19","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"20","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"21","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"22","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"23","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"24","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"25","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"26","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"27","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"28","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"29","degre_fidelite","<champ absent>","4","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"30","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"32","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"33","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"34","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"35","degre_fidelite","<champ absent>","2","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"36","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"37","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"38","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"39","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"40","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"41","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"42","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"43","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"44","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"45","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"46","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"47","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"48","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"49","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"50","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"51","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"52","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"53","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"54","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"55","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"56","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"57","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"58","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"59","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"60","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"61","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"62","degre_fidelite","<champ absent>","1","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"63","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"64","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"65","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
"66","degre_fidelite","<champ absent>","3","Ajout du second axe de taxonomie pour distinguer origine du matériau et rapport du film à la source.","docs/taxonomie_sources_et_fidelite.md; output/audit_degre_fidelite.csv; docs/verification_motifs_majeurs.md"
