"scene_number","scene_heading","motif_id","motif","source_principale","reference_iliade","source_attendue","statut_probable","priorite","raison_entree_audit"
"1","EXT. THESSALIAN VALLEY - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"1","EXT. THESSALIAN VALLEY - DAY","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"1","EXT. THESSALIAN VALLEY - DAY","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"1","EXT. THESSALIAN VALLEY - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"2","EXT. WOODS - DAY","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"2","EXT. WOODS - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"2","EXT. WOODS - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"3","EXT. MYCENAEAN CAMP - DAY","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"3","EXT. MYCENAEAN CAMP - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"4","INT. ACHILLES' TENT - CONTINUOUS","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
